username,date,content,user_location,bulan
ambontribunnews,2021-07-08 07:49:02+00:00,"Hari Pertama PPKM, Pelaku Perjalanan Lewat Jalur Laut Ambon Wajib Punya Surat Vaksin
 
https://t.co/cPlC4EbShd",Maluku,Mei
m3iDevin,2021-07-08 10:54:41+00:00,"PPKM, stop penyebaran virus!
Answer:""virus ditakutin, hidup mati itu takdir!""

Ayo vaksin, Lindungi diri dan keluarga dengan Vaksin Covid!
Answer:""takutlah vaksin, nanti bisa mati"" 
Lah tadi katanya hidup mati itu takdir?
Ini logikanya gimana coba?

#AyoVaksin #vaksincegahpandemi",Kalimantan Barat,Januari
muthahhar_06,2021-06-28 15:06:54+00:00,"Jumlah vaksin covid sudh hampir rata tersebar, HAMPIR YAAAA... 😊
Tp sangat di sayangkan dari beberpa media mnyebutkan ada saja kecurangan atau bhkan jual beli vaksin yg palsu. Hemm dasar otak iblis, maunya cuan truss..",Sulawesi Tengah,Januari
AHH0880,2021-06-29 16:58:26+00:00,Setiap jenis vaksin yang anda terima mampu membina perlindungan dalam badan untuk mengurangkan risiko ancaman Covid-19.,Sulawesi Utara,Juni
CantikaCahyhani,2021-02-27 14:09:08+00:00,"@muh_imadudin @TheArieAir @ayah9_garislucu @wiwikherma @desakusurga @BaswirOb @IBRAHIMCruise KITA DAFTAR YUKS...

OPEN PROMOTE
 #programfolbac#SejutaPromotor 
Best Regard : @TheArieAir

Vaksin datang Ekonomi bangkit

 Follow Promotornya :
@muh_imadudin TSP-72

RT + Like 
Rep: Sukseskan Vaksinasi
#programfolback",Sulawesi Utara,Februari
tiaraaaa98,2021-07-10 02:32:08+00:00,@jaemcityx omg congrats makji udh vaksin,Sulawesi Selatan,Januari
Krisnamaharandi,2021-07-09 06:21:41+00:00,@aalmasih Yaaa bener dudul.. emng helm gak akan menghentikan kecelakaan ... sama kyk vaksin .. piye to 😆🤣🤣,Lampung,Juni
MaHeNTrAN,2021-05-29 06:50:52+00:00,Soalan-soalan kerap ditanya oleh orang ramai di Pusat Pemberian Vaksin (PPV). https://t.co/Ex6y8AqeJA,Aceh,Mei
ipullen,2021-05-27 05:59:12+00:00,@ratnaratnasari Vaksin aja teh,Jawa Barat,Mei
yayaaaaa112,2021-04-28 02:00:44+00:00,Vaksin vaksin,Banten,April
_KhunnTaj,2021-05-29 02:27:10+00:00,Ada kerajaan pon tak function. Dah dpt vaksin pon masih tak bersidang. Parliament tuh nanti jadi haunted building lah lama2 haha https://t.co/QqQnFmuS88,Aceh,Mei
DinaAdinnisa_,2021-05-18 16:01:42+00:00,Efek vaksin pegel muluuu,Jawa Barat,Mei
shfqbkr,2021-01-24 09:03:41+00:00,"@izzcandaer @M_Ieskandar Dahulu lama sebab
1. Takde sistem trace
2. People takdak awareness.

Sekarang pendapat aku mungkin tak berapa lama sebab
1. Sistem tracing dah ada
2. People dah ada awareness
3. Hospital lebih bersedia
4. Vaksin dijangka tiba bulan 3",Aceh,Januari
dr_koko28,2021-03-08 10:15:20+00:00,Saya mendapat kabar bahwa tim peneliti UGM mundur dari upaya pengembangan Vaksin Nusantara.**,Sulawesi Selatan,Maret
miechellinn,2021-05-29 08:24:38+00:00,"Cluster vaksin, MANAGE NI PUN GAGAL BODOH PUNYA KERAJAAN https://t.co/tanAQIuF5k",Aceh,Mei
Nurulaienisme,2021-02-27 12:18:54+00:00,@mimiimarlinda Nasib baik lah aku skrg nie anti vaksin.. sbb pregnt.. hahaha xpyh amek,Sulawesi Utara,Februari
lhylaaa,2021-06-18 05:11:11+00:00,vaksin kedua selesai🙌,Sumatera Utara,Juni
hudattamini,2021-04-18 01:17:27+00:00,@AntiDusta Betul ..... Harusnya Vaksin Nusantara itu Modalnya KUALITAS bukan Nasionalis ..... Nasionalis tanpa Kualitas bisa jadi Malapetaka ..... !!!,Kalimantan Timur,April
lokastiti,2021-02-27 04:13:40+00:00,"Alhamdulillah puji syukur, dapat kesempatan vaksin. Terimakasih STRA 🤣",DKI Jakarta,Februari
SugitoArisandi,2021-07-06 10:33:56+00:00,"@AktivisSesat @spectatorindex Inti dari vaksinasi bukan untuk mmbunuh virus, tp mnyiapkan imun tubuh agar siap melawan virus. Makanya pas hbis vaksin akan timbul gejala sakit. Semakin banyak tubuh yg imunnya sdah biasa dgn varian covid19, harapannya imun mampu lawan balik. untuk pnyebaran, tetap pakai masker.",Sulawesi Tenggara,Januari
DitoWedya,2021-06-29 12:28:49+00:00,sertifikat vaksin setara dengan ijazah !!,Jawa Timur,Juni
tikaakiranarr,2021-04-11 15:24:44+00:00,Vaksin tidak ya,Sumatera Barat,April
adonesian,2021-01-25 12:00:11+00:00,Vaksin mandiri adalah vaksin yang paling ideal untuk anak underground.,Bali,Januari
ndhfayu,2021-07-10 05:26:24+00:00,kalo emang gakbisa vaksin ya pake keterangan dokter. goblok bgt si heran,Maluku,Mei
IriawanSusilo,2021-05-29 01:03:36+00:00,"83,9 Juta Dosis Vaksin Covid-19 Untuk Rakyat Indonesia

Nusantara Bersatu https://t.co/9bZ2Jx52D7",Papua Barat,Mei
bumagda_,2021-05-28 02:18:00+00:00,"Saya sudah di vaksin pertama menggunakan Astra Zeneca. Semoga sehat dan kian sehat. Semoga cepat terbentuk herd immunity di Indonesia. Semoga pandemi segera berlalu, semoga perlahan terjadi pertumbuhan ekonomi. 

Semoga kaum rebahan bisa segera piknik 🙌 https://t.co/HtnxoagusY",DKI Jakarta,Mei
hudattamini,2021-04-14 21:12:02+00:00,Vaksin Nusantara BELUM MEMENUHI STANDAR ATURAN YANG DITETAPKAN ..... MAKANYA BPOM BELUM MEMBERI IJIN .....jadi disini tdk ada soal support atau tdk Support tetapi mengenai Standar Keselamatan Vaksin Harus dipenuhi barulah BPOM keluarkan Izin .... Clear. https://t.co/UHTnhYOjTX,Kalimantan Timur,April
Degisugi3,2021-06-23 03:37:59+00:00,"Vaksin aman dan halal Mari kita melakukan vaksinasi untuk mencegah covid-19, jangan ragu untuk vaksinasi
Bersatu Lawan Covid19 https://t.co/aF7aP3pgSn",Kepulauan Bangka Belitung,Juni
DinsosDKI1,2021-03-24 07:56:48+00:00,"Wiiih... yang ditunggu-tunggu sebentar lagi hadir, nih!

Eits, jangan lupa prokesnya ya. Tak lupa, sempatkan vaksin di Puskesmas Kecamatan setempat.

#KartuLansiaJakarta #KLJ #dinsosdkijakarta #jakartatanggapcorona

@aniesbaswedan 
@ArizaPatria 
@DKIJakarta https://t.co/9cuPuSy1re",Jawa Barat,Maret
RareDarL_N,2021-07-08 03:04:43+00:00,"@OyKentangk gak bisa bedain mana bunga mana ochi 😭 indah semua 😭
btw ini dari semalam trus tadi pagi aku nonton ini, supaya gak gugup krn mo vaksin wkwkwk",Nusa Tenggara Timur,Maret
deeanvet,2021-03-29 06:09:26+00:00,@ndoouu Pakai vaksin apa?,Jawa Timur,Maret
Miftha_86,2021-01-11 13:25:41+00:00,Tim Satgas NU Peduli Covid-19 mendukung vaksin https://t.co/CbidDFt7xw https://t.co/3QEdXeu91O,Kalimantan Selatan,Januari
Rafiq_Rafqi,2021-01-28 14:55:22+00:00,@RRGNA Abis vaksin apa re?,Banten,Januari
lintangbgsprdna,2021-05-28 15:39:19+00:00,"Vaksin mengandung magnet ada microchipnya

Buat apa juga mereka ngawasin elu? Ada hp buat ngawasin elu 24 jam ngapain repot2 bikin vaksin yg ada so called microchipnya? HP lu pada udh device yg tepat buat mata2in lu pada jd gausah geer lah",DKI Jakarta,Mei
aansyah85642314,2021-06-28 03:52:36+00:00,"Yuk vaksin, untuk memutus rantai penyebaran COVID-19

Bersatu Kita Teguh https://t.co/XIVbWv6bV4",Kepulauan Riau,Juni
Rian_gantok,2021-01-21 04:31:11+00:00,"Vaksin aman dan halal
#vaksìncovid19 #vaksinasimelawanpandemi @ Dusun Sekotong 1, Desa Sekotong Tengah, Kec. Sekotong https://t.co/hsQl5CAF2C",Nusa Tenggara Barat,Januari
muthahhar_06,2021-06-28 15:06:57+00:00,"Ow iya balik lagi soal kejelasan vaksin 😊.
Jngn smpe demi menghabiskan atau memenuhi target untuk persediaan vaksin agar habis trsebar dan terpakai, masyarakat yg mnjadi tumbalnya.",Sulawesi Tengah,Januari
SutanSee,2021-06-22 00:14:32+00:00,"Penjelasan Satgas soal Efektivitas Vaksin Lawan Corona Varian Delta
https://t.co/QDikgW4sjk

Yuk Disiplin Prokes",Sumatera Barat,Juni
Arie_BangsaOne,2021-07-08 19:22:56+00:00,"Di India ada Gangga, di Indonesia Mudik sudah lama.
Kenapa saat Vaksin sedang berjalan lancar malahan Semakin Cepat ada Kenaikan ?
Mutasi yang alami itu harusnya semakin melemah, bukan semakin kuat dan cepat.
#sitifadilah",Lampung,Juni
azharsaiful17,2021-04-24 11:51:04+00:00,"Vaksin covid-19 dibulan puasa

#PendampingDesa #GusMenteri #daridesa #DESA 
@halimiskandarnu 
@fachrilabalado 
@yusradaridesa 
@bangsispusdatin 
@malik_haramain 
@tppkemendes 
@TPPISUMUT 
@BatuTppi 
@afdimarwan
@meanstoruski https://t.co/qvN7NWlnL7 https://t.co/W3pxkD4KEH",Aceh,April
dimasjugayogi,2021-04-29 16:03:00+00:00,"Sakjane jen pemerintah ki loh..
Vaksin ✅
Pake masker ✅
Jaga Jarak ✅ 
Nga berkerumum ✅
Mau naik kereta pake swab antigen, genose PCR dilakuke.. 

Eh giliran mau mudik nga boleh 😭",Sulawesi Utara,April
cheppyshandy,2021-02-20 05:31:57+00:00,Form pendaftaran vaksin covid untuk lansia seperti ini bentuknya Silahkan daftarkan.... https://t.co/773VpAD11f https://t.co/vwuFpCZ0Mw,Bali,Februari
IdaBagusAnggara,2021-06-21 03:33:18+00:00,"Vaksin gak mau, ikut prokes gak mau, menerima realita kasus naik juga gak mau. Mau mu opo to jal?",Kalimantan Selatan,Juni
GunsRd,2021-07-10 12:14:28+00:00,"Berangkat haji dilarang? Alasan? 

Ini ibadah men,.. Covid? Kan negara udah sampai bela2 pinjam dana utk vaksin. Vaksin smpai yg terbaru. APD kan ada buat proteksi diri, prosedur protokol covid udh dikumandangkan kmana2. Takut covid ato takut ibadah?",Kalimantan Barat,Januari
jamessuselo,2021-05-28 16:46:31+00:00,"@Ar1Pangeran https://t.co/BG3GcqbEno 

Masih percaya Vaksin Made in Chinese Communist Party dan afiliasinya ? Ya Monggo dicoba, kalau berhasil, dapat piring cantik + anomali genetik di generasi berikutnya kok👍",DKI Jakarta,Mei
achietmokoginta,2021-05-28 04:44:11+00:00,"Yes? Or
No?

I think I'm not ready for this 😔, selama anak2 belum bisa di vaksin kayaknya mending PJJ dulu.

Walaupun kayaknya gw akan jadi satu2 nya ortu yang nolak PTM. https://t.co/RKUy4eWXSD",DKI Jakarta,Mei
BelinaLeviaaa,2021-06-22 14:21:07+00:00,@gucayyy Kalo abis vaksin boleh dekat dekat sama anak gasih ngab,Sumatera Utara,Juni
gayuhputra,2021-06-03 03:19:18+00:00,"Vaksin I gotong royong. Thanks Kadin. Hahaha.. (@ RS. Bhakti Husada PTPN XII in Kalibaru, Jatim) https://t.co/YNJknQBUT3",Kalimantan Selatan,Juni
whitehorsegroup,2021-03-29 11:09:25+00:00,"Seluruh driver &amp; crew White Horse Bali sudah mendapat vaksin Covid-19. 

Buat teman-teman yang hendak berwisata ke Bali, jadi makin yakin kan buat naik Bus White Horse?😊🙏🏻 https://t.co/N1kZ6bl5de",Kalimantan Tengah,Maret
PolsekPlaju3,2021-03-26 08:56:49+00:00,"Payoo,..

Kakek,Nenek
Mang cek,bikcek 
Lindungi Diri dan Keluarga Dengan Suntik Vaksin COVID-19

Segera Datangi Puskesmas Terdekat.
Sukseskan Vaksinasi LANSIA.

VAKSIN COVID-19
AMAN DAN HALAL
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@irvanprawira https://t.co/xNLNniXTGb",Sumatera Selatan,Maret
ayoPutri,2021-07-08 06:44:04+00:00,"Ini tu jadi kenapa si Indonesia, apa pada kurang baca, atau perarturannya yang kudu direvisi, jadi ga ditelen mentah2

Dah tiket mahal, PCR sekeluarga mahal, harusnya pulang dah ok, masalah di surat vaksin, wwooooiiiiiiii!!!!!",Kalimantan Barat,Januari
fizzyusoff,2021-05-29 23:55:36+00:00,@xmrazkhanx @anthraxxxx @JKJAVMY Nope. Dekat body area…,Papua,Mei
EvanStinger,2021-01-25 08:57:37+00:00,"@HardimasHP @VeritasArdentur tapi masih belum menjelaskan di mana ada aturan yang tertuang secara definitif: ""Hanya Negara yang boleh beli Vaksin, Swasta tidak boleh.""

Kalau sekedar tafsir sana sini, bahas agama saja 😅",Sumatera Utara,Januari
faujeek,2021-06-29 14:53:58+00:00,"Emang gembar gembor jualan vaksin, vaksinnya di jual ya ?",Banten,Juni
Nicko_Firman,2021-02-23 10:30:52+00:00,Kayak e aku lek dapat jatah vaksin untuk tahun ini gak bisa deh,Jawa Timur,Februari
windameidhitaa,2021-07-09 14:12:21+00:00,"@destryangryana Efek itu tergantung orangnya sih, di aku nih vaksin 1 dan 2 april lalu ngaruh pegel sama ngantuk doang. Semangat, kak! 🤗",Lampung,Mei
CDR1403,2021-03-29 04:36:03+00:00,Akhirnya sertifikat vaksin Covid-19 sudah lengkap semua 🥳 @PLindungi @satgascovid19id @KemenkesRI https://t.co/18FXD8tU93,DKI Jakarta,Maret
whykwjy,2021-06-29 10:01:34+00:00,@julehaaah Udah dapat sertifikat vaksin belom? Klik https://t.co/KUR3Is0SrH,Banten,Juni
Cahaya39710020,2021-06-11 15:40:59+00:00,"Masyarakat harus waspada terhadap varian baru Covid-19 dengan melakukan pencegahan melalui vaksin dengan didukung disiplin protokol kesehatan 5M.
Tolak Provokasi https://t.co/iFYy0CIXBS",Kalimantan Utara,April
agungaagung,2021-02-26 13:31:41+00:00,"@awashoax @Ikhwan73869516 @nzorock @kompascom @jokowi Pak presiden dan jajarannya memang sudah vaksin, tp warga disana apa kabar? Warga tidak bisa disalahkan, yg disalahkan si pengambil keputusan, siapalagi ya pemerintah.",DKI Jakarta,Februari
gustibrewon,2021-07-04 04:57:51+00:00,"sejumlah teman mengeluhkan melalui media sosial soal kesulitan mendapat vaksin Az dosis kedua. Pada dosis pertama, tersedia menyebar di berbagai fasyankes. kini sulit. ada apa? @KemenkesRI @LaporCovid @kemenkomarves @jokowi @RadioElshinta @kumparan",Nusa Tenggara Timur,Februari
MB_Symphonie,2021-02-12 06:24:34+00:00,"Alhamdullilah, korban2 garangan sudah mulai sembuh tanpa harus vaksin ""Garavax"" 🤣 .. Herd Immunity terbaik adalah kesandung elek'e garangan sikek 😂 https://t.co/QeHzFJWQUg",DI Yogyakarta,Februari
81_adi,2021-04-29 21:58:52+00:00,"@txtdrsunarto @heskusuma @detikcom pakai bpjs mandiri, itu juga kagak full cover. 
hal2 begini pasti yg disalahkan adalah korbannya dg alasan tidak fit and bla bla bla. kenpa korbannya yg disalahkan, ya karena sedikit yg akhirnya kagak dianggep korban.
padahal sudah jelas kejadiannya pasca suntik vaksin.",Sulawesi Utara,April
DiskopProvNtb,2021-05-17 15:20:46+00:00,Update Cakupan / Sebaran Vaksin 17 Mei 2021 Pukul 17.00 Wita https://t.co/Kzx89ygjXh,Nusa Tenggara Barat,Mei
diahmalini,2021-01-25 04:36:26+00:00,"akhirnya gagal vaksin lg, gagal vaksin selalu d temanin pak dobiel https://t.co/p0fO91mGGz",Bali,Januari
Hidayah_Art,2021-03-19 13:30:02+00:00,"@Tika54 Vaksin ditunggu semua warga Indonesia, gak sabar pengen cepet-cepet, hihii",Jawa Tengah,Maret
Irfanmajid93,2021-05-29 23:58:29+00:00,@admlmk_ @JKJAVMY Haha igt  edit tadii,Papua,Mei
fadilakaila,2021-07-07 14:24:20+00:00,@FessPonti karna pas screening aku di tunda dulu vaksin krn bengek,Kalimantan Barat,April
cakasana,2021-02-24 13:54:23+00:00,"@phat_ime Wah kurang tahu saya kategorinya, tp setahu saya UMKM ini biasanya mempekerjakan minimal sekian orang syaratnya.

Ini saya bicara masalah vaksin mandiri ya konteksnya, dimana pengusaha besar dapet prioritas vaksin mandiri (karena bisa bayar)",Jawa Timur,Februari
iamnaaiinn,2021-05-18 04:58:07+00:00,"Lagi gak kepikiran vaksin, 
Sama si cece disuruh vaksin dari semalam, 
Udah mau tuh...
Baca astrazeneca bermasalah, yaudah bismillah kalau besok pergi ga ada halangan gapapa..",Kepulauan Riau,Mei
PolsekPlaju3,2021-03-05 07:12:58+00:00,"LINDUNGI DIRI DAN KELUARGA DENGAN VAKSINASI COVID-19

Saya Siap di Vaksin!
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@PolisiSumsel
@irvanprawira
@palembangpolice
@novelsiswandi1977 https://t.co/TOR07pqmHQ",Sumatera Selatan,Maret
