username,date,content,user_location,bulan
denihendraya,2021-05-21 10:53:05+00:00,@rvywr @Ikawikara_ @pramadhiyaswd teman saya sedang menyusui pake sinovac sudah vaksin kedua aman,Jawa Barat,Mei
razdhani,2021-04-24 11:49:13+00:00,"Soksokan mau angkat barbel siap vaksin, muter setir aja uda cenat cenut ini lengan 😑",Aceh,April
nonodistas,2021-01-15 00:53:25+00:00,"agak curiga kalo paduka @Lucasvazquez91 punya vaksin covid makanya dimainin mulu sama botak ngehe.

ustad @Benzema ? doi kiainya kali makanya ga berani diganti, sungkan sama alim ulama daripada dilaknat.

konon @realmadrid jadi kelompok pecinta tempenyol abis ini.

#BennyDoloIn",Nusa Tenggara Barat,Januari
DeviMuliana14,2021-04-28 09:27:34+00:00,"Vaksin pertama Lansia Covid 19 gratis Oma Aqu Ratina Wijaya hari Jumat, 26 Maret 2021 di Santa Ursula  😊😇😘😘😘😘..    Terimakasih Pak Joko Widodo atas vaksin gratis Covid 19 buat Lansia 🙏🙏🙏🙏🙏😊😇😘😘😘😘😘.. https://t.co/ubZ0AtAVGh",Banten,April
daniswooro,2021-03-29 13:32:26+00:00,"hidung mampet, mulai bereaksi kah sang vaksin?",Kalimantan Tengah,Maret
ndhfayu,2021-07-10 05:26:24+00:00,kalo emang gakbisa vaksin ya pake keterangan dokter. goblok bgt si heran,Maluku,Februari
mickeynasution,2021-05-29 16:20:48+00:00,"@Vaksin_Vuritust Nah...saya suka kesal sama yg menganggap remeh virus ini...
Semoga kita selalu dilindungi dari ancaman virus jahanam ini.",Sulawesi Utara,Mei
fauzan_alia,2021-01-29 15:36:40+00:00,"Alhamdulillah...
Gubernur Aceh Bpk. Ir. H. Nova Iriansyah, MT. Menerima Suntikan Vaksin Covid-19 Tahap 2.👍👍👍 https://t.co/JOSadqOss8",Aceh,Januari
dannyni39,2021-06-28 18:53:47+00:00,"Jawaban paling mudah dan aman ketika sudah di vaksin dan masih terpapar covid adalah karena adanya varian baru, baru dannnn baru... heehèee",Jawa Timur,Juni
ini803D1,2021-02-27 05:27:00+00:00,Kabar yang gua tunggu2 di bulan Maret adalah  undangan vaksin via Gojek,DKI Jakarta,Februari
TMalaqbi,2021-04-05 05:18:38+00:00,Vaksin Untuk Lansia Aman Dan Efektif Melindungi Lansia Dari Virus COVID-19 https://t.co/dpNKVUzzCs,Sulawesi Barat,April
dwikartikaa,2021-06-24 07:28:28+00:00,"Vaksin tidak yaaa, ku galau😂😂😂😂",Kalimantan Timur,Juni
nonodistas,2021-01-15 09:55:39+00:00,"@virolatief setuju. tapi dipoin saya kebetulan situasi terkait vaksin ro bukan kebijakan terkait pandeminya.

dan menurut pemahaman saya pencegahan jangka panjang juga harus vaksin supaya membentuk herd immunity. contoh ketika kecil vaksin polio dkk kita ga minta tapi wajib sebagai preventif",Nusa Tenggara Barat,Januari
toro_zulham,2021-04-29 14:46:17+00:00,Melaksananka  Vaksin Covid 19 yang kedua https://t.co/kcI6OfHXDR,Sulawesi Utara,April
nandanandoo1,2021-06-29 14:39:42+00:00,Vaksin pertama gak ada efek apa-apa cuma ngantuk+laper aja..tapi masih bisa diatur.,DI Yogyakarta,Juni
pontianakpost1,2021-07-08 04:24:02+00:00,"Bupati Launching Serbuan Vaksin di Gedung Bolavoli Indoor Putussibau   
Jika Animo Besar, Kegiatan Diperpanjang https://t.co/1RNI21NtoG",Kalimantan Barat,Juni
Jeffripratamaa_,2021-07-10 11:27:47+00:00,Masih sebal lengan habis kena vaksin nin hmmm,Kalimantan Barat,April
toelatoel,2021-02-27 11:50:51+00:00,"@mmmmonana Engga nder.
Justru kata budokternya vaksin mandiri itu mereknya ga sama dengan yang pemerintah punya.",Sumatera Utara,Februari
derarszt,2021-02-27 06:39:31+00:00,"Jd teman2 yg punya ortu atau sdr lansia yg akan vaksin, mohon didampingi dan diedukasi bahwa proses skriningnya memang butuh waktu. Belajarlah utk saling menghargai profesi apapun. Sama seperti para nakes jg memperlakukan lansia tsb seperti orangtua kami sendiri. 🙏🏻🙏🏻🙏🏻",Banten,Februari
bumagda_,2021-05-28 07:59:15+00:00,"Nyeri otot karena abis vaksin ini bisa mendingan gak sih dengan pijetan?

*seriusnanya",Banten,Mei
blogdokter,2021-06-26 15:10:57+00:00,@IndiIndi235 @dimasbayua_ @RandyHasan20 @infomalang @e100ss Vaksin AZ malah bagus buat usia diatas 30 tahun karena efek sampingnya rendah pada usia itu.,Bali,Juni
LangitBabel,2021-01-11 12:00:28+00:00,"Selamat atas lobby bu menteri luar negeri @Menlu_RI , Vaksin Covid19 Gratis dari WHO Kepada Indonesia nampaknya akan segera terealisasi.. https://t.co/J2nYVatf0C",Kepulauan Bangka Belitung,Januari
polsek_sentani,2021-03-02 07:37:13+00:00,"Perwira Tinggi Mabes Polri Terima Vaksinasi Covid-19 Tahap I

Jajaran Perwira Tinggi Mabes Polri melaksanakan vaksin Covid-19 Sinovac tahap I di Wisma Bhayangkari Mabes Polri, Jakarta Selatan, Senin (1/3). 

#VaksinasiAnggotaPolri
Terbentuknya Herd Immunity https://t.co/ktsdnLc0pE",Papua,Februari
nduce_nif,2021-07-10 04:51:43+00:00,"@liputan6dotcom seperti yg dipertanyakan sama bang adian, kalo dah ada vaksin ketiga, kemungkinan ke empat dan kelima bisa saja terjadi.. bussines is bussines..",Sulawesi Tenggara,Januari
bnasmarmata,2021-03-25 23:26:06+00:00,Ada apa dengan vaksin https://t.co/mzcloD7b7a,Sumatera Utara,Maret
AndraBintang20,2021-04-29 11:42:49+00:00,Baruu di vaksin.. Eh ujan ujanan GG,Sulawesi Utara,April
shafanisss,2021-07-10 04:32:08+00:00,@UN1TY_Official Aku udh vaksin dan Alhamdulillah nggak ad gejela lain,Sulawesi Selatan,Januari
riskaoktav69,2021-01-29 15:05:38+00:00,"Estimasi Biaya Yang dibutuhkan BAMBI : 
-Konsultsi+Suntik+Obat 100K
-Steril 400K(PROMO) 
-Vaksin F4 &amp; Rabies 260K

untuk vaksin nanti akan di lakukan setelah kondisi bambi bener bener pulih dulu dari SCABIES nya. fokus sembuhin scabies parah yg ada di kepala bambi.",Kalimantan Tengah,Januari
kalbar_news,2021-07-10 09:12:01+00:00,Kalbar News: Seluruh Tenaga Kesehatan Bakal Di Vaksin Moderna https://t.co/eBmINHRsY1,Kalimantan Barat,Juni
CandraI84,2021-06-10 01:55:46+00:00,"@AsepSus5 Indonesia memilih Vaksin yang aman dan berkhasiat cegah Covid-19 serta jangan lupa disiplin mematuhi Prokes 5M
Disiplin Prokes 5M https://t.co/GrQEdYJDV6",Sumatera Selatan,Juni
SBudiex,2021-01-23 06:47:27+00:00,Besok nek sakdrng e di sontik vaksin ki di rapid sek.. Lah.... 🙈 https://t.co/yIL51z3HiQ,DI Yogyakarta,Januari
muthahhar_06,2021-06-28 15:06:57+00:00,"Ow iya balik lagi soal kejelasan vaksin 😊.
Jngn smpe demi menghabiskan atau memenuhi target untuk persediaan vaksin agar habis trsebar dan terpakai, masyarakat yg mnjadi tumbalnya.",Sulawesi Tengah,Juni
daemrp,2021-06-29 17:37:30+00:00,"Porsi orang teh beda2 aya dikasih sakit copidd, aya yg stlh vaksin di kasih sakitt, aya yg dikasih sakit jantung, diabet, hipertensi, pnyakit hati ktika copid merajalela, itulah akoo",Banten,Juni
ebulliencechu,2021-06-27 12:28:45+00:00,"capek banget nungguin vaksin ppit, apa gue vaksin di tempat lain aja ya",Jawa Tengah,Juni
Taumy_Alif,2021-04-11 02:47:28+00:00,"Kalau aku bisa daftar vaksin via scan #BillboardAQUA kamu juga pasti bisa.

Kalau ketemu Billboard nya, jangan sungkan ya untuk scan juga agar menjadi bagian dari #SukseskanVaksin",Sulawesi Tengah,April
hudattamini,2021-01-13 06:04:25+00:00,@NataliusPigai2 Ya.... Iyalah.....  Vaksin aja takut sama Pigai..... 😛😛😝😾,Kalimantan Timur,Januari
nur_ahmadN,2021-02-27 13:31:43+00:00,"Diorg vaksin awal, lepas tu semua tamak PRU. Lepas tu malaysian yang belum vaksin kena klua ngundi. Pastu at the end masih rakyat x dapat ape . https://t.co/9xpxhHYr6A",Kalimantan Tengah,Februari
gHormatKulas,2021-07-10 02:28:11+00:00,"Meski jadwal vaksinasi Covid yang diselenggarakan kejaksaan resminya baru mulai pukul 9, jam 8 rakyat sdh membludak.
Alokasi vaksin cuma 1.000 per hari. Pukul 9.30 sudah diumumkan agar rakyat di luar tenda antrian bisa datang lagi besok. https://t.co/G5SLkSB80b",Nusa Tenggara Timur,Maret
gitamarindra,2021-01-28 16:29:24+00:00,Kapan ya dapet giliran vaksin. Bawaannya deg2an tiap keluar rumah. 😔😔😔,Banten,Januari
ariamerta,2021-06-28 10:26:34+00:00,@aqutica Coba lah besok temen yg tak ajak vaksin aku tanya wkwkw,Bali,Juni
artria_adp,2021-04-29 04:38:51+00:00,"Lagi BM fotoan pas vaksin kaya orang orang, yang pas vaksin bajunya di buka terus foto. Tapi aku belum vaksin sampe sekarang",Jawa Tengah,April
massfazz,2021-06-29 04:01:40+00:00,"@sbyfess Ga ngerti, ga vaksin",Jawa Timur,Juni
Aisyah_Embul,2021-06-25 00:25:20+00:00,Jokowi terbitkan aturan denda dan pidana warga yang menolak vaksin covid 19. Damai Indonesiaku https://t.co/kglS4fLWkJ,Kepulauan Bangka Belitung,Juni
GoodKadrun,2021-03-26 03:20:56+00:00,Putus rantai penularan covid-19 dengan vaksin dan prokes 5M. Bersatu Lawan FPI #UsirFPIdanHRS https://t.co/9jm4yKC0cs,Maluku,Maret
ridez_,2021-07-07 22:27:30+00:00,"@thyaoci @ribonk Jogja emang rada sulit ya, vaksin tanpa embel2 bawa lansia, ktp domisili :(. Semoga lebih diperbanyak",Kalimantan Barat,April
Pmtg11,2021-06-28 08:43:22+00:00,"Lindungi Diri, Lindungi Semua. 
@MOHEOfficial @JKJAVMY @KKMPutrajaya @politeknikmsia https://t.co/Q35sXHEmHj",Aceh,Juni
TMalaqbi,2021-04-06 05:34:09+00:00,"Vaksin COVID-19 Dikawal Para Ahli, BPOM Dan MUI https://t.co/D0h1Y4iiOO",Sulawesi Barat,Januari
Krisnamaharandi,2021-07-09 10:18:03+00:00,"@aalmasih Laiya di haruskan pake helm ya gpp.. pointnyakan kecelakan akan tetep terjadikan.. mau pake helm, pake baju astronot, pake js hujan.. intne kalo sdh di vaksin tetep bnyak yg msh positip bakal di catet teruss... ppkm darurat kuadrat maning",Lampung,April
Arie_BangsaOne,2021-07-08 19:22:56+00:00,"Di India ada Gangga, di Indonesia Mudik sudah lama.
Kenapa saat Vaksin sedang berjalan lancar malahan Semakin Cepat ada Kenaikan ?
Mutasi yang alami itu harusnya semakin melemah, bukan semakin kuat dan cepat.
#sitifadilah",Lampung,Mei
SenjaAinun1,2021-06-09 00:53:59+00:00,Sinovac Vaksin aman untuk anak-anak. Demi Kemajuan Indonesia https://t.co/NHaNwWNidb,Sulawesi Tenggara,Juni
Budi50830998,2021-06-08 07:21:41+00:00,"Alasan belum mengumumkan mekanisme jamaah haji tahun ini, karena kelangkaan vaksin Covid-19. Dana Haji Terjamin https://t.co/dCUcDfPXAB",Kalimantan Utara,Mei
NusantaraRaya45,2021-06-01 01:48:33+00:00,"Ayoo vaksin
Hari Lahir Pancasila https://t.co/jn1OTVH7S2",Bengkulu,Juni
abangjalu,2021-02-26 13:30:55+00:00,Alhamdulillah jadi prioritas yang dapat Vaksin 😀 https://t.co/3t9OB51SQk,DKI Jakarta,Februari
BungaPecinta,2021-05-11 05:16:11+00:00,@BungaPecinta's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,Jawa Barat,Mei
Wahyu_New,2021-07-10 09:30:24+00:00,@PLindungi Saya sudah vaksin pertama kenapa belum ada sertifikatnya ya?,Kalimantan Utara,Januari
gHormatKulas,2021-07-10 03:56:27+00:00,Sama. Saya dari 29 Juni tiap hari berburu vaksin di faskes. Jawabannya sama https://t.co/T47vDGK525,Nusa Tenggara Timur,Juni
xxi2209,2021-07-09 18:53:29+00:00,"@riizkyaji Kak maaf yg tau dong aku ada riwayat alergi obat, boleh vaksin ga si ya? Mau vaksin aku maju mundur huhu",Lampung,Februari
ursantaclauz,2021-05-23 17:18:56+00:00,@desprate4adate Queen jangan lupa vaksin 🙁😩😩 minggu depan udah aaw ditiap property,Bali,Mei
INyomanSetiawa2,2021-05-07 08:22:36+00:00,"Jumat, 7/5/2021, Wujudkan *Commander Wish Kapolri* dalam Meningkatkan Transpormasi Operasional, Anggota Polsek Padangbai kontrol penyimpanan vaksin Sinovak di Kespel P. Bai. 

@polreskarangasem.id
@karangasem_id
@infoamlapura 
@nyoman_suartinireal 
@madesuadnyananopa https://t.co/3IPdu29hKD",Nusa Tenggara Barat,Mei
fadilakaila,2021-07-07 14:24:20+00:00,@FessPonti karna pas screening aku di tunda dulu vaksin krn bengek,Kalimantan Barat,Maret
dundunchenk,2021-07-09 05:03:19+00:00,@zarazettirazr @tvOneNews Redaksi nya takut gk kebagian vaksin .....,Lampung,Mei
atikdwitama1,2021-04-08 02:35:03+00:00,"Lapor! 
Saya sudah vaksin pertama Pak Jokowi 🙏😇 https://t.co/dw0g713bz9",Jawa Tengah,April
NegaraAPI2,2021-05-05 05:38:38+00:00,Pemerintah Mendorong Percepatan Vaksinasi Dengan Skema Vaksin Gotong Royong https://t.co/mjc2ofxTWr,Sulawesi Barat,Januari
nurul_reihan1,2021-01-17 03:49:02+00:00,"Cuma pas baca replyannya,bikin istighfar,ga ngerti kadang orang2 ini,ingin pandemik cepat usai tapi ga mau mematuhi protokol kesehatan,nyinyirin vaksin,jadi kudu kumaha atuh? 💆💆",Sumatera Utara,Januari
Isnanto_ardians,2021-07-09 10:15:03+00:00,@jawafess Gadekne sertifikat vaksin nggo tukur mahar lurs,Lampung,Juni
recehanrezim,2021-05-28 03:43:50+00:00,@Stevaniehuangg Telah lahir buah cinta virus campur vaksin 🤣🤣,Banten,Mei
mUchALuCHa149,2021-05-29 16:36:12+00:00,"Alhamdulillah 😁
1st dose Pfizer Biontech vaccine done!
Good job dads! 🙌🏼

Jom dapatkan vaksin segera. Jangan ragu². It's a protection.

#1stDose
#Pfizer https://t.co/1PeV95ri5q",Kalimantan Tengah,Mei
RareDarL_N,2021-07-06 02:43:30+00:00,"@kmhworlds iya, kayaknya besok ato lusa,,, takut jarum 😭
kamu udah vaksin?",Nusa Tenggara Timur,Mei
cakasana,2021-01-23 15:47:53+00:00,"Edukasi vaksin di Brazil:

1. Pakai artis top
2. Genre merakyat (funk)
3. Lagu udah populer (1.5 MILIAR views di youtube)
4. Liriknya diubah buat promote vaksin https://t.co/RFUSfQKd6G",Jawa Timur,Januari
AndyRosadi_,2021-01-29 01:30:22+00:00,"Habis iBox terbirlah Eiger, tapi sayang masih kalah trending sama vaksin https://t.co/lO0yp5IVOR",Jawa Barat,Januari
RareDarL_N,2021-07-08 11:47:05+00:00,"@wompily yah not bad lah~abis vaksin agak ngilu2 ini lengan ku 😣
how bout u, dek?",Nusa Tenggara Timur,April
dimasajisaputro,2021-02-04 09:10:16+00:00,Vaksin corona bisa nyembuhin bersin bersin gak?,Kalimantan Timur,Februari
fifiprd,2021-03-28 15:56:07+00:00,@Anzja Vaksin bukan berarti kebal 🤣,Banten,Maret
ambontribunnews,2021-07-07 06:00:48+00:00,"Vaksin Gratis Bagi Calon Penumpang Bandara Pattimura, Dibuka Mulai Pukul 08.00 WIT hingga 13.00 WIT
 
https://t.co/vdLDrqSzC6",Maluku,Mei
aristiyan99,2021-02-13 03:09:45+00:00,Vaksin yg kedua https://t.co/in1zI0C7Cn,Kalimantan Timur,Februari
PaluUtara,2021-07-09 06:35:32+00:00,"Ayo Vaksin...!!!
Segera Datangi Puskesmas 
Atau Gerai Vaksin Terdekat https://t.co/mF1RqN2qda",Sulawesi Tengah,Januari
mhmdbima3,2021-07-10 03:31:01+00:00,Mau vaksin ragu aduuhh,Sulawesi Selatan,Januari
deartn_,2021-07-08 11:39:08+00:00,Cuma setelah vaksin yang bisa buat aku akhirnya tidur siang dengan nyenyak.,Kalimantan Barat,Juni
desy_kirana,2021-05-20 11:11:00+00:00,"No!
Kulebih iri sama mba2 yg lagi vaksin nicsap.
Apa ga deg2an itu dia?? https://t.co/4RHFFegXLB",DI Yogyakarta,Mei
dokterimun_id,2021-01-29 02:11:20+00:00,"6. Kelebihan vaksin protein subunit spt novavax adalah saat menambahkan strain baru tidak sebabkan reaksi imunitas berlebihan, seperti pada vaksin mRNA, karena adjuvan tetap tidak berubah dan tidak perlu ditambah, bandingkan vaksin mRNA",DKI Jakarta,Januari
kabarklaten,2021-02-23 07:17:13+00:00,"Klaten Dapat Jatah Lanjutan 10.000 Dosis Vaksin COVID-19

https://t.co/rva7QoFGsC",Jawa Timur,Februari
AgusMul07427016,2021-05-24 09:35:09+00:00,Apakabar manusia vaksin?!,Bali,Mei
nafisMA,2021-05-22 13:05:59+00:00,Jeng jeng jeng ada monitoring ga nicc org2 yg abis di vaksin pertama @KemenkesRI https://t.co/yB998NG537,Jawa Barat,Mei
AntoniusDjumad2,2021-04-08 12:12:33+00:00,@budimandjatmiko Vaksinasi sdh sampai ke desa2.bahkan saya pensiunan guru sudah vaksin yg kedua.Aman,Jawa Tengah,April
Noviiyani_,2021-02-27 04:42:54+00:00,"Pagi ini ditawarin untuk vaksin, hati sama pikiran langsung buyar 😑",Banten,Februari
anisafifahidris,2021-02-26 21:48:24+00:00,My dad takut nak kena cucuk vaksin 😂 so aku cakap la kalau tak cucuk vaksin nanti tak leh pi konvoi haha. Terus daftar vaksin.,Aceh,Februari
Imronspilner57,2021-03-29 13:28:32+00:00,Udah pada d vaksin blom? Kloh tidak mau yah udah. Berati #AndaGolonganKami https://t.co/bhBpDp22V8,DKI Jakarta,Maret
alfisutan66,2021-02-16 04:33:36+00:00,"Jadi utk pembelian vaksin sekarang juga berasal dari kantong daerah ? Bukan dari pusat semuanya ? 
Apakah disetorkan dari daerah ke pusat, kemudian pusat yg beli vaksinnya ? Atau daerah yg langsung beli ? Apakah ini berlaku utk seluruh daerah ???
 https://t.co/L2O5hbWySS",Jawa Barat,Februari
ann_aisyah,2021-03-17 13:13:43+00:00,"Besok harus slesaiin rekon bun, biar jumat kelar vaksin bs leha2",Sulawesi Selatan,Maret
SinarOnline,2021-05-29 23:45:37+00:00,"Namun, masalah terbesar dalam program imunisasi bukan siapa dapat dahulu. Ia bukan lumba lari 100 meter, siapa dapat dulu dia menang.
#sinarharian 
#vaksin

https://t.co/VdTU7NfD1O https://t.co/BcBRLHRxVQ",Papua,Mei
Sayedonee,2021-01-16 09:20:23+00:00,Setelah vaksin kok bawaannya ngantuk + cepet laper ya? #VaksinSinovac,Nusa Tenggara Barat,Januari
pmikotatarakan,2021-07-04 11:49:16+00:00,"MANFAAT PENTING VAKSINASI COVID-19

Ada Program vaksinasi Covid-19 dari Pemerintah dan jangan lupa setelah vaksin tetap mematuhi protokol kesehatan https://t.co/o7brgoKWd8",Kalimantan Utara,Januari
aayuadn,2021-06-25 12:07:08+00:00,@kntankgoreng suud vaksin ra wkwkw,Nusa Tenggara Barat,Juni
Danialikhwxn,2021-05-29 16:17:15+00:00,Rokok hisap non stop. Bila cakap rokok haram dan2 beza pendapat. Mai tang vaksin riuh sekampung.,Sulawesi Utara,Mei
justalk12ver4,2021-06-29 05:10:50+00:00,"Bismillah bagi para twitter yang budiman, butuh golongan darah A untuk transfusi darah,  2 labu, syaratnya tidak pernah kena covid sm sekali atau sudah pernah vaksin covid 2x dengan jeda minimal 2 mggu dr tanggal terakhir vaksin",Jawa Barat,Juni
Krisnamaharandi,2021-07-08 23:25:17+00:00,"Punya temen sudah dua orang.. yang sudah divaksin .. tapi masih positif covid .. bener kata bu Siti Fadilah Supari dong yaa.. vaksin tidak menyelesaikan pandemi!!
#mikir",Lampung,Februari
de_fendi17,2021-02-03 08:14:07+00:00,Sekarang tersedia dlm bentuk vaksin 😂 https://t.co/8Z7sj3FToq,Jawa Tengah,Februari
TantriAnggreani,2021-07-10 09:25:17+00:00,@alibralieus Kau udah vaksin belum ???,Kalimantan Barat,Februari
oktavrsm,2021-07-09 01:33:22+00:00,"Tinggal nurut aja selama vaksin masih gratis, Giliran berbayar presidennya lagi yang disalahain padahal sendirinya belet.",Lampung,Maret
yudha_chondro,2021-06-29 15:13:11+00:00,"@halfmoonnnnnn_ @secrethagrid @tubirfess Contoh kecil aja. Di negara yg penanganan covid lebih serius, testing-tracing nya kenceng. Vaksin ngebut. Yg udh begitu aja kasus positif masih naik. Tp death rate rendah. Negara"" yg sudah lepas masker, mayoritas tingkat vaksinasi tinggi. https://t.co/s1ifjDxbQ6",Banten,Juni
_humansinful,2021-06-26 16:42:43+00:00,Besok aku vaksin gmna ni hdehhh,Bali,Juni
nisabeckyjun,2021-01-18 03:10:04+00:00,@PLindungi kok sistem bisa gangguan sih.? Saya gak bisa daftar ulang di puskesmasny. Udah banyak yang antri. Padahal e ticket udah ada. Kok dihambat gini sih mau vaksin,Sumatera Selatan,Januari
ashrulamiraf,2021-02-27 22:49:42+00:00,"Like i said, kita tak dpt puaskan hati semua org. Im not backing them up, but i do remember dulu sebelum ada vaksin semua suruh politician ambik vaksin dulu. 😂 https://t.co/3atB8MxBmF",Kalimantan Tengah,Februari
SumantriBram,2021-05-29 23:48:39+00:00,"@imaqueennz Mana coba videonya?
Yang dinjeksi itu 0.5ml vaksin berbentuk cairan. Dimana logika?",Papua,Mei
Arie_BangsaOne,2021-07-08 19:24:03+00:00,"@SaveMoslem1 Di India ada Gangga, di Indonesia Mudik sudah lama.
Kenapa saat Vaksin sedang berjalan lancar malahan Semakin Cepat ada Kenaikan ?
Mutasi yang alami itu harusnya semakin melemah, bukan semakin kuat dan cepat.
#sitifadilah",Lampung,Juni
SilviaPutriAn11,2021-06-11 02:33:45+00:00,"Satgas minta kepala daerah prioritaskan vaksin Covid-19 untuk lansia dan pra lansia.
Waspada Provokasi https://t.co/cUZN10su8P",Bengkulu,Juni
fifiprd,2021-03-28 15:56:07+00:00,@Anzja Vaksin bukan berarti kebal 🤣,DKI Jakarta,Maret
taeggukkkie,2021-07-10 16:01:25+00:00,@rahasiarif Aku abis vaksin tadi siang😁😁😁,Sulawesi Utara,Januari
Hidayah_Art,2021-03-17 11:59:52+00:00,"Seperti kabar dari Jogjakarta, pelaku sektor pariwisata juga udh dapat suntik vaksin. Nah, pemerintah daerah tetap meminta wisatawan harus membawa hasil tes swab antigen bila ingin wisata di kota ini",Jawa Tengah,Maret
pontianakpost1,2021-07-09 06:01:39+00:00,Launching Vaksin di Putussibau https://t.co/i7guFmXKjy,Kalimantan Barat,Maret
dewagedekaw,2021-06-28 18:47:48+00:00,"Sekitar 15 menit kemudian dipanggil untuk di tensi (loh kok cepet ??!). Setelah di tensi, disuruh isi form vaksin. Sedikit ada kendala karna RT saya belum dijadwalkan vaksin, mungkin karna ada keterangan “pengantar vaksin dari pelayanan publik” jadinya di perbolehkan (mungkin).",Jawa Timur,Juni
INyomanSetiawa2,2021-05-02 14:01:44+00:00,"Minggu, 2/5/2021, Wujudkan *Commander Wish Kapolri* dalam Meningkatkan Transpormasi Operasional, Personil Polsek Padangbai kontrol penyimpanan vaksin Sinovak di Kespel P. Bai. 

@polreskarangasem.id
@infokarangasem_id
@infoamlapura 
@nyoman_suartinireal 
@madesuadnyananopa https://t.co/p7e0tqmvYW",Nusa Tenggara Barat,Mei
FathinaLatifa,2021-05-11 00:49:42+00:00,@dhia_salma vaksin ke 2,Jawa Tengah,Mei
polsek_mloe,2021-03-09 13:50:22+00:00,"Sobat Polri, vaksinasi Covid-19 sudah mulai dilaksanakan dengan sasaran prioritas saat ini adalah untuk tenaga kesehatan. Setelah dilakukan vaksinasi nantinya masyarakat akan diminta untuk menunggu selama 30 menit di lokasi penyuntikan vaksin. Apa sih alasannya? Ayo kita simak! https://t.co/ImVW5P34xb",Sulawesi Selatan,Maret
binmasresklung1,2021-03-19 00:38:04+00:00,Panglima TNI dan Kapolri Tinjau Pelaksaan Vaksin 2.101 Personel di Polda Jatim. https://t.co/0LHplHiSts,Nusa Tenggara Barat,Maret
mieayambgt,2021-06-29 14:57:28+00:00,Vaksin nagih anjengg kek putaw,DKI Jakarta,Juni
yoantamara,2021-01-28 05:19:23+00:00,"Belum juga di vaksin, udah ngantuk mulu. Gimana neh",DKI Jakarta,Januari
AdeTrigarnida2,2021-01-22 12:59:42+00:00,@ZoelHayat Vaksin tuh buat apa sech?  Nanya. Serius 😊,Jawa Barat,Januari
yuli_yosi,2021-02-27 12:47:29+00:00,"Meski sdh di vaksin, tetap wajib prokes ya... https://t.co/tfCczvGHXr",Sulawesi Utara,Februari
daniswooro,2021-03-29 13:32:26+00:00,"hidung mampet, mulai bereaksi kah sang vaksin?",Sulawesi Utara,Maret
Arpan91481432,2021-06-26 06:26:27+00:00,Vaksin massal kawasan pabrik #Kulipabrik https://t.co/z30L8MZXnt,Kepulauan Riau,Juni
bnzeus,2021-06-28 12:08:54+00:00,orang - orang di rumah udh pada vaksin katanya enak dikasih es krim😭 saran aja kalau mau vaksin mending di ikea kotbar biar dikasih es krim🙏🏻 https://t.co/fOMmsiadL7,Jawa Barat,Juni
